objID,ra_sdssdr5,dec_sdssdr5,ra_rosatsdssdr5,dec_rosatsdssdr5,distance,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,RASS,SDSS,umag,gmag,rmag,imag,zmag,St,z,CRate,Exp,HR1,HR2,L,FX,g0mag,FXcor,logLX,LogL2500,logL2keV,alpha,Comm,agn_type
587722953304179044,236.85217,0.32748046,236.8521,0.32744,0.00192215973717121,176.252,5.752,11.425,46.563,1.471,6.958,107.032,3.551,8.316,-994,-999,6.977,154725.6+001935,154724.51+001938.8,20.68,19.9,18.88,18.37,17.9,3,0.212,0.0428,481,0.55,0.03,22,5.44,19.55,17.12,44.4,28.68,25.86,1.08,Sy1.9,BL_Seyfert
587722982287999049,205.27492,-0.81739531,205.2749,-0.81736,0.00148400676802492,653.042,20.445,16.817,148.123,4.017,12.065,589.076,16.994,19.816,599.333,18.665,14.59,134106.9-004858,134105.98-004902.5,19.83,18.87,18.2,17.77,17.55,3,0.175,0.0507,326,0.32,-0.11,25,4.13,18.78,8.77,43.91,28.81,25.38,1.32,-9999,Other_AGN
587722982808027270,166.83051,-0.4067419,166.8305,-0.40675,0.00275727462143117,339.51,16.155,16.229,62.704,3.121,8.596,217.297,11.276,49.122,267.053,12.64,12.184,110719.6-002427,110719.31-002424.3,19.91,19.02,18.34,17.87,17.53,3,0.112,0.0319,433,0.64,0.79,19,3.56,18.83,9.52,43.51,28.38,24.98,1.31,Sy1.8,BL_Seyfert
587722982820806747,196.012,-0.41558976,196.012,-0.41558,0.00158363997616834,848.879,42.834,27.808,181.135,7.328,20.211,279.045,12.122,22.464,682.113,34.239,19.276,130402.4-002422,130402.87-002456.1,19.55,19.2,18.72,18.36,18.25,3,0.197,0.0387,262,-0.21,-1,9,2.82,19.12,5.56,43.83,28.79,25.3,1.34,Sy1.5,BL_Seyfert
587722982822772766,200.39721,-0.21826852,200.3972,-0.21825,0.000734931045619664,3543.659,58.396,28.344,627.442,8.809,18.803,1621.832,24.043,27.627,2904.097,47.606,21.543,132135.2-001306,132135.33-001305.7,18.15,17.44,17.03,16.63,16.48,3,0.082,0.1277,272,-0.01,-0.24,63,10,17.35,20.66,43.56,28.69,25.02,1.41,Sy1.5_radio,BL_Seyfert
587722982822772766,200.39721,-0.21826852,200.3972,-0.21825,0.000734931045619664,3342.824,55.392,26.744,682.934,9.24,18.908,1466.253,21.061,26.908,2726.098,44.937,20.872,132135.2-001306,132135.33-001305.7,18.15,17.44,17.03,16.63,16.48,3,0.082,0.1277,272,-0.01,-0.24,63,10,17.35,20.66,43.56,28.69,25.02,1.41,Sy1.5_radio,BL_Seyfert
587722982822772941,200.5074,-0.3039847,200.5074,-0.304,0.00150522506995873,502.59,13.413,18.806,126.662,3.407,11.017,363.792,10.271,37.429,376.646,9.998,15.113,132201.0-001805,132201.77-001814.4,20.08,18.62,17.76,17.46,17.18,3,0.075,0.0386,276,0.13,0.01,12,3.03,18.54,6.27,42.96,28.13,24.42,1.43,Sy1.9,BL_Seyfert
587722982822772941,200.5074,-0.3039847,200.5074,-0.304,0.00150522506995873,218.151,5.991,18.791,52.539,1.457,7.143,271.994,7.867,34.241,209.416,5.721,19.802,132201.0-001805,132201.77-001814.4,20.08,18.62,17.76,17.46,17.18,3,0.075,0.0386,276,0.13,0.01,12,3.03,18.54,6.27,42.96,28.13,24.42,1.43,Sy1.9,BL_Seyfert
587722982823756025,202.77375,-0.37256662,202.7737,-0.37256,0.00152790038474564,5.914,0.281,1.892,3.788,0.173,1.621,4.116,0.196,1.228,-994,-999,1.048,133106.0-002214,133105.69-002221.2,20.63,19.82,18.93,18.55,18.2,3,0.242,0.033,316,0.12,0.21,12,2.61,19.72,5.42,44.03,28.74,25.49,1.24,BL?_radio,Other_AGN
587722982826180641,208.18597,-0.25726641,208.186,-0.25728,0.00117459315105332,382.182,9.384,15.255,96.639,2.446,11.419,361.157,9.518,16.064,452.028,11.041,16.398,135244.7-001543,135244.63-001526.2,19.93,18.84,18.02,17.58,17.26,3,0.124,0.0559,367,0.28,-0.36,23,5.03,18.7,11.41,43.69,28.53,25.15,1.29,Sy1.9,BL_Seyfert
587722982826180641,208.18597,-0.25726641,208.186,-0.25728,0.00117459315105332,426.142,9.897,15.066,90.676,2.188,9.216,374.505,9.37,18.076,498.063,11.507,15.518,135244.7-001543,135244.63-001526.2,19.93,18.84,18.02,17.58,17.26,3,0.124,0.0559,367,0.28,-0.36,23,5.03,18.7,11.41,43.69,28.53,25.15,1.29,Sy1.9,BL_Seyfert
587722982837453173,234.01678,-0.29725387,234.0168,-0.29725,0.00103635026717584,242.843,9.472,7.802,5.404,0.235,1.112,249.386,11.171,12.576,188.9,7.329,9.592,153604.0-001805,153604.02-001750.1,21.42,19.95,18.88,18.38,17.98,3,0.16,0.0263,455,1,0.95,17,3.33,19.56,10.34,43.9,28.41,25.36,1.17,-9999,Other_AGN
587722983353024544,185.37936,0.086909262,185.3793,0.08689,0.00164218602343632,906.416,30.883,29.412,278.396,7.623,31.733,697.698,20.537,42.799,325.856,11.044,14.724,122131.8+000534,122131.04+000512.8,18.85,18.21,17.81,17.4,17.35,3,0.107,0.0366,267,0.15,0.44,8,2.92,18.11,6.12,43.28,28.63,24.74,1.49,Sy1.8,BL_Seyfert
587722983353024544,185.37936,0.086909262,185.3793,0.08689,0.00164218602343632,1230.996,39.21,28.355,290.562,7.911,25.542,676.412,19.622,40.851,914.942,28.991,14.058,122131.8+000534,122131.04+000512.8,18.85,18.21,17.81,17.4,17.35,3,0.107,0.0366,267,0.15,0.44,8,2.92,18.11,6.12,43.28,28.63,24.74,1.49,Sy1.8,BL_Seyfert
587722983898218613,204.38066,0.59138401,204.3807,0.59133,0.00144242156131093,145.087,6.869,8.388,78.139,3.254,7.659,50.047,2.193,7.843,86.523,4.075,6.451,133730.1+003517,133731.36+003528.8,20.27,19.59,18.73,18.29,17.99,3,0.299,0.0268,274,0.36,0.4,10,2.08,19.49,4.27,44.15,29.03,25.61,1.31,BL?_radio,Other_AGN
587724198279971122,20.317416,14.134081,20.31737,14.13406,0.00261279364557157,-999,-999,0,109.986,15.117,3.906,-999,-999,0.279,-999,-999,0,012116.5+140745,012116.17+140802.6,22.68,21.99,20.73,20.04,19.6,3,0.452,0.0276,260,-0.25,0.19,10,2.99,21.85,7.8,44.85,28.48,26.32,0.83,Sy1.5,BL_Seyfert
