log10..NII..Ha. log10.EW.Ha.. WHAN_Class
-0.51269  1.62579  1.00000
-0.20988  1.08629  2.00000
-0.40213  0.90773  1.00000
 0.43873 -0.35655  4.00000
-0.51576  1.55152  1.00000
 0.44730 -0.58670  4.00000
 0.00000  0.00000  0.00000
-0.27029  1.46575  2.00000
-0.45477  1.56207  1.00000
 0.00000  0.00000  0.00000
-0.37857  1.90586  2.00000
 0.01467  0.04766  4.00000
-0.35412  1.60804  2.00000
-0.34684  1.53154  2.00000
-0.36658  1.15878  2.00000
-0.33759  1.26717  2.00000
-0.45027  1.56820  1.00000
-0.42699  1.44595  1.00000
-0.07004  0.99704  2.00000
-0.29900  1.33602  2.00000
-0.36912  1.51156  2.00000
-0.38937  1.79518  2.00000
-0.65939  1.26907  1.00000
-0.41779  1.03475  1.00000
-0.39065  0.34282  4.00000
-0.38682  1.48731  2.00000
-0.32983  1.62994  2.00000
-0.32294  1.67981  2.00000
-0.49160  1.62046  1.00000
-0.20957  0.33385  4.00000
 0.00000  0.00000  0.00000
-0.53742  1.51044  1.00000
-0.03324  0.88694  2.00000
-0.40797  0.68646  1.00000
-0.55998  1.61138  1.00000
-0.40948  1.46450  1.00000
 0.00000  0.00000  0.00000
 0.29624 -0.28233  4.00000
-0.19634  0.08778  4.00000
-1.10473  1.53737  1.00000
-0.01496 -0.19382  4.00000
-0.49621  1.60622  1.00000
-0.57529  1.74036  1.00000
-0.19962  0.59945  3.00000
-0.24658  0.82367  2.00000
-0.14093  1.29431  2.00000
-0.25693  1.48856  2.00000
-0.36455  1.27754  2.00000
 0.00000  0.00000  0.00000
-0.38830  1.27793  2.00000
 0.09160  1.11424  2.00000
-0.06825  0.59439  3.00000
-0.04016  0.25164  4.00000
-0.12271  0.39585  4.00000
-0.18855  0.74772  3.00000
-0.45027  1.60116  1.00000
-0.10021 -0.25415  0.00000
-0.58874  1.50308  1.00000
-0.36629  1.38876  2.00000
-0.44604  1.57546  1.00000
 0.05766  0.40909  4.00000
-0.45161  1.72673  1.00000
-0.48307  1.73316  1.00000
-0.37379  1.04638  2.00000
-0.43016  1.42387  1.00000
-0.57317  1.77574  1.00000
-0.47181  1.75951  1.00000
-0.50172  1.68375  1.00000
-0.42342  1.20501  1.00000
 0.00000  0.00000  0.00000
-0.31003  1.22791  2.00000
 0.02068  0.38039  4.00000
-0.49656  1.69807  1.00000
-0.34007  1.03747  2.00000
-0.09445  0.57078  3.00000
-0.16171  0.07151  4.00000
-0.45018  1.40446  1.00000
-0.46386  1.77971  1.00000
-0.32750  1.49453  2.00000
-0.36841  1.56215  2.00000
-0.38195  1.72468  2.00000
-0.62425  1.41152  1.00000
-0.48077  1.55763  1.00000
-0.43263  1.71824  1.00000
-0.37409  1.70278  2.00000
-0.38629  1.39610  2.00000
-0.68944 -0.11014  0.00000
-0.49478  1.67536  1.00000
-0.45058  1.64461  1.00000
-0.21789  0.91656  2.00000
 0.04974  0.17202  4.00000
-0.37269  1.50058  2.00000
-0.74907  2.00746  1.00000
-0.33627  1.32656  2.00000
-0.39198  1.53324  2.00000
-0.61888  1.62402  1.00000
-0.29775  1.51093  2.00000
-0.42144  1.36061  1.00000
-0.36743  1.57944  2.00000
-0.30962  1.16507  2.00000
-0.05643  0.31450  4.00000
-0.45499  1.46288  1.00000
-0.00513  0.99756  2.00000
-0.36056  1.13678  2.00000
-0.36108  1.50241  2.00000
-0.46401  1.61266  1.00000
-0.35103  1.47950  2.00000
 0.13396 -0.41454  4.00000
-0.34184  1.60891  2.00000
-0.29784 -0.49485  0.00000
-0.32784  1.73420  2.00000
-0.33765  1.55066  2.00000
-0.31646  1.53334  2.00000
-0.44984  1.16735  1.00000
-0.33914  0.53517  3.00000
-0.28170  0.42259  4.00000
-0.28075  0.44389  4.00000
-0.21293  0.70935  3.00000
-0.44102  1.60204  1.00000
-0.50162  1.22230  1.00000
-0.45713  1.38707  1.00000
-0.46223  1.68001  1.00000
-0.36474  1.61739  2.00000
-0.38611  1.67421  2.00000
-0.54256  1.60209  1.00000
-0.78853  2.02581  1.00000
-0.30807  1.19731  2.00000
 0.00000  0.00000  0.00000
-0.58448  1.81973  1.00000
-0.34850  1.42571  2.00000
-0.22836  0.03262  4.00000
-0.26820  0.96969  2.00000
-0.09937 -0.14327  4.00000
-0.38432  1.50854  2.00000
-0.52979  1.00052  1.00000
