RASS,SDSS,umag,gmag,rmag,imag,zmag,St,z,CRate,Exp,HR1,HR2,L,FX,Simbad,g0mag,FXcor,logLX,LogL2500,logL2keV,alpha,Comm,DR5,RA,DE
000011.9+000223,000011.96+000225.3,18.24,17.97,18.02,17.96,17.91,6,0.479,0.0219,364,-0.01,-1,9,2.2,Simbad,17.85,5.42,44.76,30.14,26.22,1.5,LBQS2357-0014,DR5,0.04983,0.04036
000024.1+152026,000024.02+152005.4,19.41,19.18,18.99,19.08,19.13,6,0.989,0.0133,463,-0.05,-1,8,1.41,Simbad,19.02,3.6,45.41,30.37,26.88,1.34,-9999,DR5,0.10008,15.33483
000100.8-102318,000102.18-102326.9,18.98,18.69,18.33,18.24,17.66,6,0.294,0.0284,340,0.37,-0.13,8,2.76,Simbad,18.53,6.6,44.32,29.4,25.78,1.39,-9999,DR5,0.25908,-10.39081
000117.2+141150,000116.00+141123.0,19.01,18.68,18.7,18.56,18.16,6,0.404,0.0155,405,1,0.14,8,1.74,Simbad,18.46,4.68,44.51,29.73,25.97,1.44,-9999,DR5,0.31667,14.18972
000133.1+145601,000132.83+145608.0,19.22,19.2,19.25,19.04,18.39,3,0.399,0.0388,473,0.18,-0.86,21,4.28,Simbad,19.03,11.36,44.88,29.49,26.34,1.21,-9999,DR5,0.38679,14.93556
000340.0+160244,000338.94+160220.6,19.02,18.28,17.77,17.24,17.13,3,0.116,0.034,551,-0.54,0.58,23,3.62,Simbad,18.12,9.3,43.54,28.69,25,1.42,NLS1?,DR5,0.91225,16.03906
000345.5-110827,000345.23-110818.5,20.16,19.97,19.62,19.36,19.43,6,1.57,0.0184,338,1,1,10,1.74,Simbad,19.83,4.08,46.02,30.49,27.48,1.15,radio_PKS0001-114,DR5,0.93846,-11.13847
000411.3-104527,000410.80-104527.1,18.13,17.94,17.68,17.53,17.43,6,0.24,0.0444,333,-0.03,-0.8,23,4.3,Simbad,17.8,10.25,44.3,29.5,25.76,1.43,NLS1?,DR5,1.045,-10.75753
000431.1-100929,000431.05-100913.8,19.81,19.09,18.87,18.6,18.33,6,0.452,0.0281,351,-0.13,0.2,10,2.75,Simbad,18.95,6.61,44.78,29.64,26.25,1.3,-9999,DR5,1.12937,-10.15383
000611.4+145402,000611.54+145357.2,18.49,18.3,18.01,17.52,17.36,3,0.119,0.0417,650,0.78,0.37,46,4.64,Simbad,18.02,12.37,43.69,28.76,25.15,1.39,-9999,DR5,1.54808,14.89922
000611.9-010648,000608.04-010700.7,19.77,19.43,19.25,19.24,19.24,6,0.948,0.0243,394,-0.25,-0.66,8,2.5,Simbad,19.29,6.27,45.6,30.22,27.07,1.21,radio,DR5,1.5335,-1.11686
000618.5-100634,000618.27-100606.6,18.87,18.49,18.44,18.46,18.42,6,0.719,0.0273,332,-1,0,10,2.68,Simbad,18.35,6.47,45.3,30.33,26.76,1.37,-9999,DR5,1.57612,-10.10183
000618.6+135448,000617.07+135406.9,20.43,19.77,19.57,19.2,19.2,6,0.604,0.0191,622,1,0.98,9,2.17,Simbad,19.35,5.9,45.06,29.76,26.52,1.25,-9999,DR5,1.57112,13.90192
000709.8+005328,000710.01+005329.1,17.8,17.56,17.31,17.39,16.54,6,0.316,0.1045,405,0.07,0.04,62,10.06,Simbad,17.44,23.92,44.95,29.9,26.42,1.34,radio_LBQS0004+0036,DR5,1.79171,0.89142
000718.8-005154,000717.82-005137.7,19.87,19.55,19.63,19.37,19.16,6,0.526,0.0329,406,0.05,-0.81,10,3.36,Simbad,19.43,8.34,45.05,29.6,26.51,1.18,-9999,DR5,1.82425,-0.86047
000805.6+145027,000805.62+145023.3,18.9,17.9,17.43,17.05,16.67,3,0.045,0.1792,589,0.59,0.23,261,20.09,Simbad,17.69,53.99,43.42,28.02,24.89,1.2,-9999,DR5,2.02342,14.83981
000813.3-005752,000813.22-005753.3,18.63,18.14,17.7,17.19,17.04,3,0.139,0.0508,394,-0.02,0.02,27,5.21,Simbad,18.02,13,43.86,28.9,25.32,1.37,-9999,DR5,2.05508,-0.96481
000836.7+003201,000834.71+003156.1,17.78,17.61,17.44,17.48,17.26,6,0.263,0.0379,405,-0.46,-0.51,18,3.67,Simbad,17.46,8.77,44.33,29.72,25.79,1.51,NLS1?_LBQS0006+0015,DR5,2.14462,0.53225
000904.7-103432,000904.54-103428.7,17.84,17.81,17.8,17.57,17.62,6,0.241,0.0855,295,0.13,0.2,34,8.39,Simbad,17.68,20.25,44.6,29.55,26.06,1.34,-9999,DR5,2.26892,-10.57464
000944.1-090851,000943.14-090839.2,17.44,17.39,17.29,16.92,17.01,6,0.21,0.0286,323,0.33,-0.44,10,2.83,Simbad,17.25,6.85,43.99,29.59,25.45,1.59,-9999,DR5,2.42975,-9.14422
000944.2+010509,000943.36+010459.8,19.78,19.52,19.57,19.15,18.95,3,0.456,0.0273,387,0.65,0.51,10,2.62,Simbad,19.43,6.21,44.76,29.46,26.23,1.24,-9999,DR5,2.43067,1.08328
001047.5+001854,001047.46+001900.3,19.05,18.81,18.81,18.81,18.79,6,0.749,0.0182,404,0.11,-0.86,7,1.77,Simbad,18.69,4.22,45.16,30.24,26.62,1.39,NLS1?,DR5,2.69775,0.31675
001112.6-110001,001113.46-110023.5,20.2,20.01,20.12,19.91,19.77,3,0.495,0.0311,218,0.65,0.55,10,2.96,Simbad,19.86,7.01,44.91,29.37,26.37,1.15,-9999,DR5,2.80608,-11.00653
001129.6+005802,001130.40+005751.8,20.58,20.41,20.32,20.14,20.36,6,1.492,0.0268,385,-0.56,-1,11,2.55,Simbad,20.31,6.03,46.13,30.25,27.59,1.02,radio,DR5,2.87667,0.96439
001134.3+000000,001133.94-000001.2,21.15,20.51,20.5,20.05,19.74,6,0.447,0.0297,416,0.35,0.52,13,2.9,Simbad,20.4,6.99,44.79,29.05,26.26,1.07,-9999,DR5,2.89142,-0.00033
001139.4+144128,001137.24+144201.4,18.4,18.14,17.8,17.25,17.2,3,0.132,0.0315,299,1,1,11,3.59,Simbad,17.95,9.79,43.68,28.88,25.15,1.43,-9999,DR5,2.90517,14.70039
001206.2+002657,001207.47+002707.1,20.3,20.01,19.9,19.6,19.3,3,0.414,0.0404,404,-0.21,-0.03,17,3.86,Simbad,19.91,9.13,44.83,29.17,26.29,1.11,-9999,DR5,3.03112,0.45197
001248.7-084705,001247.92-084700.5,17.26,17.36,17.27,16.92,17.12,6,0.22,0.1232,332,0,0.39,72,12.43,Simbad,17.24,30.59,44.69,29.64,26.15,1.34,-9999,DR5,3.19967,-8.78347
001258.1+011518,001257.25+011527.3,18.88,18.65,18.78,18.59,18.56,6,0.504,0.0384,382,0.1,0.45,20,3.68,Simbad,18.56,8.74,45.02,29.9,26.49,1.31,ambigID,DR5,3.23854,1.25758
001258.1+011518,001257.89+011528.0,19.73,19.69,19.37,19.25,19.35,6,1.179,0.0384,382,0.1,0.45,20,3.68,Simbad,19.6,8.74,46.01,30.31,27.47,1.09,ambigID,DR5,3.24121,1.25778
001326.8+005239,001327.31+005232.0,18.06,17.74,17.53,17.6,17.06,6,0.362,0.0273,386,-0.57,-0.61,10,2.58,Simbad,17.64,6.07,44.5,29.95,25.97,1.53,NLS1?_LBQS0010+0035,DR5,3.36379,0.87556
001346.7+003426,001346.52+003402.9,19.26,19.08,18.78,18.59,18.13,3,0.274,0.024,407,0.61,-0.33,8,2.28,Simbad,18.98,5.34,44.15,29.15,25.62,1.36,-9999,DR5,3.44383,0.56747
001630.2-093913,001630.43-093853.5,18.56,18.42,18.19,17.95,17.91,6,0.24,0.0479,320,-0.2,-1,22,4.82,Simbad,18.25,11.84,44.36,29.32,25.83,1.34,NLS1?,DR5,4.12679,-9.64819
001803.0+154342,001800.47+154258.4,19.7,19.51,19.16,19.27,19.27,6,1.065,0.0358,230,-0.62,1,8,4.01,Simbad,19.31,10.77,45.98,30.33,27.44,1.11,-9999,DR5,4.50196,15.71622
001903.2+000702,001903.17+000659.1,18.82,18.34,17.98,17.51,17.33,3,0.073,0.0244,385,0.37,0.18,9,2.28,Simbad,18.25,5.33,42.86,28.22,24.32,1.5,-9999,DR5,4.76321,0.11642
001932.6-085956,001931.57-085938.4,19.17,18.7,18.54,18.36,18.31,6,0.504,0.0212,365,-0.05,-1,7,2.12,Simbad,18.55,5.18,44.8,29.91,26.26,1.4,-9999,DR5,4.88154,-8.994
001954.7+155735,001954.35+155740.3,18.48,18.04,17.64,17.2,17,3,0.083,0.0484,250,0.5,0.33,16,5.39,Simbad,17.82,14.38,43.41,28.51,24.87,1.4,-9999,DR5,4.97646,15.96119
002146.8+144711,002149.25+144705.2,18.68,18.27,18.4,18.39,17.99,6,0.398,0.0283,259,-0.35,-0.02,8,3.22,Simbad,18.09,8.75,44.76,29.86,26.23,1.4,-9999,DR5,5.45521,14.78478
002146.9+003850,002146.36+003900.0,18.78,18.49,18.67,18.65,18.76,6,0.663,0.023,407,-0.54,-1,9,2.11,Simbad,18.4,4.84,45.08,30.23,26.54,1.42,LBQS0019+0022B,DR5,5.44317,0.65
002209.8+001610,002209.95+001629.3,18.31,18.06,18.06,17.93,17.95,6,0.575,0.0374,397,-0.54,-1,12,3.46,Simbad,17.97,8.01,45.13,30.27,26.6,1.41,NLS1?_LBQS0019-0000,DR5,5.54146,0.27481
002312.0+003512,002311.05+003517.5,19.4,19.15,19.07,18.91,18.58,3,0.422,0.0382,403,0.24,-0.15,24,3.49,Simbad,19.06,7.99,44.79,29.53,26.25,1.26,LBQS0020+0018,DR5,5.79604,0.58819
002330.0+154733,002330.57+154744.9,17.1,17.01,17.15,17.14,16.86,6,0.411,0.0734,298,0.21,0.85,36,8.16,Simbad,16.82,21.73,45.19,30.4,26.66,1.44,-9999,DR5,5.87737,15.79581
