#       0               1       2        3           4           5             6               7              8              9             10             11           12               13             14                  15                 16              17               18               19             20               21             22               23               24              25              26             27             28            29              30                    31                    32             33               34               35             36               37               38                   39                40                 41                 42                43                 44              45                46              47               48            49              50               51                  52                 53                 54                55                  56                    57                58                 59            60            61           62             63              64              65           66            67             68           69          70            71          72            73          74             75             76             77           78            79                    80             81              82           83                 84               85            86                87               88                 89                         90                        91                 92              93               94              95             96              97              98             99              100           101        102         103
    ObjectID         plate    mjd    fiberID       RA          Dec       model_mag_u     model_mag_g    model_mag_r    model_mag_i    model_mag_z      mag_fuv      mag_nuv     mmag_extinc_u     mmag_extinc_g     mmag_extinc_r     mmag_extinc_i     mmag_extinc_z      mmag_err_u      mmag_err_g      mmag_err_r      mmag_err_i      mmag_err_z      mag_err_fuv      mag_err_nuv     mag_u_dered    mag_g_dered    mag_r_dered    mag_i_dered    mag_z_dered     mag_fuv_dered_fm     mag_nuv_dered_fm        mag_ab_u        mag_ab_g        mag_ab_r        mag_ab_i        mag_ab_z        mag_u_abs          mag_g_abs          mag_r_abs          mag_i_abs          mag_z_abs        mag_fuv_abs        mag_nuv_abs         flux_u           flux_g           flux_r           flux_i           flux_z       flux_fuv       flux_nuv         flux_sca_u         flux_sca_g         flux_sca_r         flux_sca_i         flux_sca_z         flux_sca_fuv         flux_sca_nuv       flux_fuv_synth    flux_nuv_synth     R90_r        E(B-V)        S2N_r      S2N_FUV_auto     redshift      redshift_err      AV_MK     AV_GAL_synth     A_lamb_u     A_lamb_g     A_lamb_r     A_lamb_i     A_lamb_z   A_lamb_fuv   A_lamb_nuv     Dn4000_Synth   Dn4000_Obs     Morph_Type    Survey       Scaling_Factor   log10([NII]/Ha)   log10(EW(Ha))    WHAN_Class   log10([NII]/Ha)  log10([OIII]/Hb)     BPT_Class  young_pop_ratio   interm_pop_ratio   old_pop_ratio   Luminosity_Distance(Mpc)     Chi2_Goodness      Chi2_Relative_Goodness        Age          Metallicity        M2L_u           M2L_g           M2L_r           M2L_i           M2L_z        Mcor_gal        Petro_rad_r      R50_r      R50_u    fiberMag_z    H_alpha_flux
588848899897688275     266    51630     199      145.8229    -0.1604113     19.19765       18.13039       17.59990       17.24161       17.00611       20.91001     20.67754        0.36777           0.27060           0.19626           0.14882           0.10552          0.03400         0.00756         0.00652         0.00699         0.01969          0.53803          0.25591        18.82988       17.85979       17.40363       17.09279       16.90060          20.34275             20.05910             18.78988        17.86979        17.41364        17.10279        16.92059       -18.42714          -19.34723          -19.80338          -20.11423          -20.29643          -16.87427          -17.15791         26.22412         35.02188         30.90941         27.96566         23.20696      34.43722       21.00036          23.22004           31.00998           27.36862           24.76208           20.54851             30.49229             18.59468          101.88870         31.32261        3.42151     0.07142316     17.5517       2.018471       0.0626725       8.16e-05       0.2214        0.4210         0.349        0.269        0.194        0.149        0.107        0.580        0.633          1.246         1.254            3         ['AIS']         0.88545           -0.51269         1.62579            1         -0.51269            -0.42611            1          0.39977            0.24638         0.35385            277.59                     0.18106                   0.06035           9.50590         -0.38290         4.17770         3.83370         2.97090         2.35700         1.92100       10.56100         6.77410       3.25320    1.25310      18.94129      714.69900
588848900971888676     266    51630     543      146.8069     0.6654298     20.28718       18.30138       17.15512       16.54159       15.95757       20.12901     19.22433        0.76740           0.56464           0.40953           0.31053           0.22017          0.06005         0.00811         0.00514         0.00479         0.00727          0.23823          0.10641        19.51979       17.73674       16.74559       16.23106       15.73740          18.94920             17.93808             19.47978        17.74674        16.75559        16.24106        15.75740       -15.19617          -16.92921          -17.92036          -18.43489          -18.91855          -15.72674          -16.73787         13.89124         39.22468         56.66446         61.84678         67.74765     124.29291      148.12721          87.69046          247.61152          357.70266          390.41680          427.66689            784.61707            935.07453          270.32615         68.86030        1.84498     0.14854820     41.4452       4.558650       0.0200804       9.67e-05       0.4605        0.8790         0.727        0.560        0.404        0.310        0.223        1.207        1.316          1.451         1.415            3         ['AIS']         6.31265           -0.20988         1.08629            2         -0.20988            -0.37679            2          0.22893            0.00001         0.77107             86.14                    44.06892                  14.68964           9.25310         -0.09820         3.64140         3.29600         2.59250         2.08230         1.68980       11.62630         7.20980       2.98540 -9999.00000      23.86666     1115.17200
587725074995806293     267    51608     182      147.7286     0.1360320     19.54051       18.01390       17.29300       16.90231       16.64367       21.56846     20.55846        0.30285           0.22284           0.16162           0.12255           0.08689          0.03712         0.00598         0.00498         0.00498         0.01286          0.29752          0.11621        19.23766       17.79106       17.13138       16.77976       16.55678          21.10114             20.04898             19.19766        17.80106        17.14138        16.78976        16.57678       -18.58061          -19.97721          -20.63689          -20.98851          -21.20149          -16.67713          -17.72930         18.01312         37.31053         39.71868         37.31102         31.85241      17.12664       21.19709          13.60922           28.18874           30.00813           28.18911           24.06503             12.93947             16.01476           98.19271         32.46693        3.06151     0.05883988     26.0878       3.650217       0.0801419       1.45e-04       0.1824        0.1080         0.288        0.222        0.160        0.123        0.088        0.478        0.521          1.423         1.398            3         ['AIS']         0.75552           -0.40213         0.90773            1         -0.40213            -0.16814            1          0.21229            0.12645         0.66126            359.46                     0.31266                   0.10422           9.87510         -0.42960         4.59150         3.61510         2.78040         2.24200         1.85110       11.55020         6.28300       2.57660    0.76315      18.00260      257.73400
587728947973456030     268    51633     134      149.2507    -0.6722538     19.31958       17.69493       17.01020       16.71340       16.47221       22.35092     22.30108        0.19219           0.14141           0.10257           0.07777           0.05514          0.04223         0.00574         0.00487         0.00477         0.01065          0.45819          0.45230        19.12739       17.55351       16.90764       16.63563       16.41707          22.05198             21.97517             19.08739        17.56352        16.91763        16.64563        16.43707       -18.82920          -20.35307          -20.99896          -21.27096          -21.47952          -15.86461          -15.94142         19.93871         46.43521         48.80842         42.60780         36.22649       7.13406        3.59584          13.73925           31.99731           33.63262           29.35993           24.96274              4.91590              2.47780           63.08352         24.02900        3.34564     0.03763949     32.2361       2.370172       0.0851119       1.33e-04       0.1167        0.0620         0.184        0.142        0.102        0.079        0.056        0.306        0.333          1.489         1.508            3         ['AIS']         0.68907            0.43873        -0.35655            4          0.00000             0.00000            0          0.13134            0.53148         0.33719            383.10                     0.21847                   0.07282           9.41480          0.03190         5.40550         4.24440         3.17690         2.49360         1.99180       12.24500         6.01060       2.08270    1.58872      16.75290       17.82100
588848898825060453     268    51633     288      148.2658    -0.9603130     19.28340       18.13836       17.66743       17.37432       17.17938       20.52474     20.21431        0.20719           0.15245           0.11057           0.08384           0.05944          0.03217         0.01372         0.00843         0.00849         0.01849          0.16334          0.10371        19.07621       17.98591       17.55686       17.29048       17.11994          20.20727             19.86820             19.03621        17.99591        17.56686        17.30048        17.13994       -17.60229          -18.64259          -19.07164          -19.33802          -19.49856          -16.43122          -16.77029         20.90109         31.18110         26.84125         23.31037         18.96174      39.01385       25.03726          18.26934           27.25495           23.46155           20.37526           16.57419             34.10145             21.88471          116.82512         36.69215        3.31564     0.03997195     18.6985       6.648680       0.0485180       8.16e-05       0.1239        0.3940         0.196        0.151        0.109        0.083        0.060        0.325        0.354          1.224         1.220            3         ['AIS']         0.87409           -0.51576         1.55152            1         -0.51576            -0.18696            1          0.37048            0.24463         0.38489            212.67                     0.98230                   0.32743           8.62330         -0.45080         0.97910         1.56290         1.44910         1.22500         1.06340       10.15380         7.62990       3.56230    0.80307      15.49847      563.99000
587728950121136310     268    51633     535      149.6770     0.8763349     20.39496       18.41714       17.46688       17.02704       16.68446       23.87950     23.44896        0.13272           0.09766           0.07083           0.05371           0.03808          0.09975         0.00883         0.00630         0.00649         0.01382          0.27698          0.24366        20.26224       18.31948       17.39606       16.97333       16.64638          23.67450             23.22547             20.22224        18.32948        17.40605        16.98333        16.66638       -17.55077          -19.44353          -20.36696          -20.78968          -21.10663          -14.09850          -14.54754          7.01063         22.93314         31.12625         31.21829         29.32934       1.60076        1.13679           4.85267           15.87403           21.54520           21.60891           20.30140              1.10803              0.78687            8.46634          3.34572        3.01149     0.02581111     25.1462       3.920909       0.0799582       1.58e-04       0.0800        0.0220         0.126        0.097        0.070        0.054        0.039        0.210        0.229          1.887         2.068            3         ['DIS']         0.69219            0.44730        -0.58670            4          0.00000             0.00000            0          0.05515            0.02779         0.91705            358.59                     0.76999                   0.25666           9.66220         -0.03510         3.53910         2.65990         2.03150         1.62050         1.32380       11.09780         8.79090       3.59090    1.20892      19.19050        6.87600
587728949584593099     268    51633     625      150.4218     0.6250087     20.10401       18.17387       17.30268       16.88269       16.57814       23.35150     22.71269        0.12722           0.09361           0.06789           0.05148           0.03650          0.06293         0.00720         0.00526         0.00555         0.01130          0.31643          0.16108        19.97679       18.08026       17.23479       16.83121       16.54164          23.15558             22.49909             19.93679        18.09026        17.24479        16.84121        16.56164       -17.40015          -19.24668          -20.09215          -20.49573          -20.77530          -14.18137          -14.83785          9.11878         28.58587         36.11027         35.58419         32.29968       2.58165        2.21938           7.14007           22.38292           28.27458           27.86265           25.29086              2.02145              1.73779           11.08261          5.10925        2.93537     0.02466866     28.4740       3.431998       0.0660677       1.93e-04       0.0765        0.0280         0.121        0.093        0.067        0.052        0.037        0.200        0.219          1.735         1.973            3         ['DIS']         0.78301            0.00000         0.00000            0          0.00000             0.00000            0          0.02748            0.18876         0.78375            293.35                     0.65511                   0.21837           9.95520         -0.13800         8.11620         5.40990         3.83070         2.90820         2.27800       11.06980         3.05600       1.42570    0.56691      17.08476     -994.00000
587728949047722125     268    51633     640      150.3381     0.1571821     19.53402       18.18452       17.47331       17.02136       16.73046       22.04197     21.01843        0.15555           0.11445           0.08301           0.06294           0.04463          0.04389         0.00683         0.00562         0.00560         0.01487          0.17618          0.07476        19.37847       18.07007       17.39030       16.95842       16.68583          21.80024             20.75489             19.33847        18.08007        17.40030        16.96842        16.70583       -18.75930          -20.01770          -20.69747          -21.12935          -21.39194          -16.29753          -17.34288         15.82213         28.85542         31.29153         31.64996         28.28279       8.99567       11.06401          25.45572           46.42457           50.34394           50.92061           45.50328             14.47286             17.80054           69.37265         25.15415        2.66182     0.03043653     21.9107       6.164140       0.0920663       9.79e-05       0.0944        0.5870         0.149        0.115        0.083        0.064        0.046        0.247        0.270          1.366         1.353            3         ['MIS']         1.60887           -0.27029         1.46575            2         -0.27029             0.08053            2          0.31177            0.23371         0.45452            416.44                     2.42810                   0.80937           9.79810         -0.20730         7.78930         5.79710         4.09940         3.07280         2.39140       11.85140         4.43780       1.95570    1.44913      20.93554      860.80000
587728949048312004     269    51910     118      151.7241     0.0073459     19.49048       18.23138       17.65289       17.29078       17.03960       20.85313     20.22128        0.17064           0.12555           0.09106           0.06905           0.04896          0.04260         0.00694         0.00613         0.00644         0.01836          0.08860          0.05210        19.31984       18.10583       17.56183       17.22173       16.99064          20.58733             19.93150             19.27984        18.11583        17.57183        17.23173        17.01064       -17.25290          -18.41691          -18.96091          -19.30101          -19.52210          -15.94542          -16.60125         16.70002         27.92052         26.71867         24.83414         21.35985      27.49144       23.61941          22.64172           37.85437           36.22491           33.66988           28.95948             37.27263             32.02297          137.60698         43.97365        2.81645     0.03346707     18.4576      12.256980       0.0462886       8.51e-05       0.1037        0.4390         0.164        0.126        0.091        0.070        0.050        0.272        0.296          1.229         1.191            3         ['MIS']         1.35579           -0.45477         1.56207            1         -0.45477            -0.57439            1          0.45180            0.06280         0.48541            202.56                     0.26198                   0.08733           8.56930         -0.65970         0.99700         1.28920         1.30150         1.15950         1.02230       10.51750         5.99910       2.67950    0.67864      19.96585      789.25000
587728950121660562     269    51910     441      150.8328     1.0268170     20.52322       18.61029       17.64136       17.21775       16.89505       23.73860     22.97890        0.12427           0.09144           0.06632           0.05029           0.03565          0.12504         0.01097         0.00749         0.00794         0.02110          0.19484          0.15096        20.39895       18.51886       17.57504       17.16747       16.85940          23.54759             22.77066             20.35895        18.52885        17.58504        17.17746        16.87940       -17.92053          -19.75063          -20.69444          -21.10202          -21.40008          -14.73189          -15.50882          6.18120         19.08602         26.39555         26.10701         24.10428       1.79925        1.72824           5.73982           17.72314           24.51072           24.24278           22.38307              1.67077              1.60483           15.43316          6.21151        3.28392     0.02404943     15.9740       5.573712       0.0995794       1.38e-04       0.0746        0.3140         0.118        0.091        0.065        0.050        0.036        0.195        0.213          1.671         1.720            3         ['DIS']         0.92859            0.00000         0.00000            0          0.00000             0.00000            0          0.11559            0.05226         0.83215            452.79                     0.85639                   0.28546           9.76150          0.10110         6.05530         4.02130         2.88020         2.19780         1.72230       11.45620         5.26560       2.21890    0.25026      19.00529       25.75700
